16.2356,36.8244,-1.2493
15.2852,36.5133,-1.2541
15.5572,35.5510,-1.2650
14.6478,35.1353,-1.2733
13.7971,34.6095,-1.2788
14.2908,33.7399,-1.2816
14.3996,32.7458,-1.2862
14.8545,31.8553,-1.2956
15.1985,30.9164,-1.3010
14.3058,30.4657,-1.3047
13.7165,29.6578,-1.3112
12.7377,29.4530,-1.3150
12.1131,28.6721,-1.3223
11.4263,27.9453,-1.3288
10.5198,27.5229,-1.3342
10.4688,26.5242,-1.3363
9.5436,26.1449,-1.3414
8.5807,25.8749,-1.3479
7.6250,26.1692,-1.3481
6.8277,25.5656,-1.3538
5.8352,25.4437,-1.3578
4.8763,25.1601,-1.3615
4.0688,24.5702,-1.3660
3.1967,24.0810,-1.3707
3.6619,23.1958,-1.3753
2.7910,22.7044,-1.3796
2.9902,21.7246,-1.3956
2.0083,21.5352,-1.3991
1.0127,21.6296,-1.4041
0.0542,21.3448,-1.4084
-0.8585,20.9361,-1.4131
-1.7019,20.3988,-1.4178
-1.2228,21.2680,-1.5401
-0.3122,21.6707,-1.4477
-1.0389,20.9839,-1.4545
-1.9118,20.4960,-1.4592
-2.8577,20.1714,-1.4655
-2.3804,21.0501,-1.4575
-3.1213,20.3786,-1.4601
-2.8099,19.4283,-1.4662
-3.7307,19.0381,-1.4708
-4.7209,18.8986,-1.4754
-5.6552,18.5421,-1.4794
-4.8070,19.0670,-1.4078
-5.4724,18.3205,-1.4145
-6.4286,18.0279,-1.4191
-7.3259,17.5866,-1.4247
-8.0017,16.8495,-1.4289
-8.9474,16.5244,-1.4338
-9.8886,16.1867,-1.4375
-10.8609,15.9530,-1.4430
-11.8550,15.8444,-1.4476
-11.3080,15.0073,-1.4486
-12.2549,14.6857,-1.4533
-13.2223,14.4325,-1.4590
-14.1544,14.0703,-1.4642
-13.8917,13.1054,-1.4690
-14.8889,13.0306,-1.4738
-15.8169,12.6580,-1.4787
-15.7282,11.6619,-1.4843
-16.7013,11.4316,-1.4900
-17.6363,11.0771,-1.4937
-18.5835,10.7564,-1.4983
-19.4781,11.2033,-1.4999
-19.5388,10.2051,-1.5020
-20.2811,9.5352,-1.5063
-21.1162,8.9850,-1.5116
-22.0673,8.6764,-1.5174
-22.0891,7.6767,-1.5272
-21.9035,6.6941,-1.5396
-22.8604,6.4038,-1.5452
-22.5024,5.4701,-1.5453
-23.4983,5.5597,-1.5431
-24.4263,5.1869,-1.5474
-24.8209,4.2681,-1.5559
-25.7027,3.7964,-1.5600
-26.5748,3.3071,-1.5650
-27.2686,2.5870,-1.5726
-28.1768,2.1686,-1.5759
-28.9829,1.5768,-1.5816
-29.9571,1.3515,-1.5869
-30.9060,1.0359,-1.5902
-31.8626,0.7444,-1.5958
-31.0357,1.2905,-1.4612
-30.4803,0.4590,-1.4706
-31.2034,1.1496,-1.4666
-32.0356,0.5951,-1.4702
-32.9597,0.2131,-1.4748
-32.0426,0.5604,-1.2792
-32.9628,0.1689,-1.2842
-33.7486,-0.4495,-1.2907
-34.7071,-0.7345,-1.2959
-35.6346,-1.1084,-1.2999
-35.5274,-2.1027,-1.3044
-36.4686,-2.4407,-1.3081
-37.2734,-3.0341,-1.3136
-37.0325,-4.0046,-1.3129
-36.8956,-4.9952,-1.3159
-37.3003,-4.0818,-1.3585
-36.3095,-3.9466,-1.3480
-35.7041,-4.1006,-0.5671
-35.0987,-4.2547,0.2138
-34.4934,-4.4088,0.9946
-33.8880,-4.5628,1.7755
-33.2826,-4.7169,2.5564
-32.6772,-4.8709,3.3373
-32.0718,-5.0250,4.1182
-31.4664,-5.1791,4.8990
-30.8610,-5.3331,5.6799
-30.2557,-5.4872,6.4608
-29.6503,-5.6412,7.2417
-29.0449,-5.7953,8.0226
-28.4395,-5.9493,8.8034
-27.8341,-6.1034,9.5843
-28.7760,-5.7676,9.5792
-29.6224,-5.2350,9.5750
-30.4688,-4.7025,9.5708
-31.3153,-4.1700,9.5665
-32.0022,-4.8967,9.5583
-32.6891,-5.6233,9.5500
-32.1973,-4.7546,9.4917
-32.6320,-5.6551,9.4839
-33.6301,-5.7170,9.4907
-34.3719,-6.3876,9.4853
-35.0335,-7.1375,9.4798
-34.5747,-6.2491,9.4989
-33.7581,-6.8264,9.4944
-33.6704,-7.8224,9.4828
-32.7378,-8.1831,9.4734
-32.9300,-7.2019,9.4872
-32.1861,-7.8701,9.4778
-31.3561,-8.4279,9.4711
-30.7578,-7.6267,9.4800
-30.5500,-6.6560,9.6007
-29.5813,-6.7416,9.3677
-29.7907,-5.7638,9.3767
-29.2489,-4.9234,9.3843
-28.9442,-4.1543,9.9461
-28.5415,-3.2390,9.9552
-27.6711,-3.7315,9.9498
-27.0399,-2.9559,9.9557
-26.4625,-2.1395,9.9629
-25.5502,-2.5490,9.9584
-24.7713,-1.9219,9.9648
-24.1772,-1.1175,9.9724
-23.3249,-0.5944,9.9765
-22.4993,-1.1586,9.9699
-21.8959,-0.3612,9.9742
-20.9709,0.0182,9.9566
-20.1633,0.6080,9.9617
-19.4375,1.2959,9.9673
-19.2567,2.2794,9.9778
-19.1443,3.2730,9.9856
-18.9686,4.2574,9.9929
-18.1246,3.7211,9.9880
-17.1248,3.7422,9.9865
-16.4109,4.4425,9.9906
-15.9418,5.3256,9.9979
-15.2993,6.0919,10.0046
-14.7966,6.9563,10.0074
-14.2824,7.8140,10.0143
-14.9596,8.5498,10.0198
-15.0873,9.5415,10.0279
-14.6936,10.4607,10.0366
-14.9831,11.4179,10.0439
-14.0718,11.8294,10.0476
-13.1315,11.4889,10.0428
-13.4905,12.4222,10.0553
-12.7623,13.1076,10.0612
-12.2208,13.9482,10.0739
-11.3775,14.4857,10.0782
-10.6509,15.1727,10.0846
-9.8425,15.7613,10.0894
-10.6521,16.3484,10.0971
-9.9827,17.0913,10.1030
-9.0960,17.5535,10.1074
-8.4778,18.3395,10.1144
-7.5042,18.1116,10.1123
-6.5458,18.3970,10.1137
-6.0132,19.2434,10.1207
-5.1886,19.8091,10.1254
-4.6040,20.6204,10.1315
-3.6286,20.8408,10.1353
-2.6307,20.7758,10.1340
-2.5041,21.7677,10.1408
-2.0672,22.6672,10.1485
-2.5788,23.5264,10.1548
-3.4032,24.0923,10.1623
-2.4032,24.0907,10.1651
-1.4087,23.9861,10.1633
-0.8891,24.8395,10.1210
-0.2438,25.5976,10.0269
0.3697,26.3863,9.9869
-0.0126,27.3103,9.9927
0.9634,27.0925,9.9924
1.9016,27.4387,9.9941
2.1853,28.3975,10.0021
2.9548,29.0362,10.0055
2.2261,29.7211,10.0074
3.0267,30.3203,10.0144
3.8021,30.9518,10.0201
4.6018,31.5521,10.0253
5.4632,32.0599,10.0295
5.5731,33.0538,10.0423
6.5510,33.2629,10.0439
7.5028,33.5697,10.0463
8.5025,33.5919,10.0498
9.0759,34.4112,10.0563
10.0757,34.4280,10.0524
9.5150,35.2560,10.0607
10.3313,35.8336,10.0653
9.8266,36.6969,10.0731
10.7684,37.0332,10.0741
11.1027,37.9756,10.0808
11.2166,38.9691,10.0888
10.5744,39.7356,10.0948
11.3033,40.4202,10.1004
11.4941,41.4018,10.1091
12.4921,41.3392,10.1068
13.2249,42.0197,10.1125
13.7619,42.8632,10.1201
14.0320,43.8260,10.1273
15.0113,44.0283,10.1290
15.8848,44.5151,10.1326
16.7315,45.0472,10.1372
15.8260,45.4716,10.1378
16.6683,46.0106,10.1420
17.5272,46.5227,10.1458
18.3427,47.1013,10.1502
19.0007,47.8544,10.1557
19.7862,48.4733,10.1604
20.4865,49.1870,10.1582
21.2248,49.8615,10.1642
20.7025,50.7143,10.1693
21.6293,51.0898,10.1716
20.9181,51.7929,10.1750
20.0843,52.3449,10.1759
20.7308,53.1078,10.1829
21.3442,53.8975,10.1898
21.9863,54.6642,10.1957
22.0700,55.6607,10.2037
22.8468,56.2904,10.2081
23.7365,56.7469,10.2113
23.3081,57.6506,10.2146
24.2205,57.2413,10.2118
25.0522,57.7966,10.2167
24.2824,58.4349,10.2223
